id,version,date,business_line,products,plan_id,plant_cedis,address,country,group,latittude,longitude,articles,units,unit cost,income,admin_costs,production_costs
30,Actual,2017.Jan,Breakfast and cereal,Pancakes,CO06,Plant | Juárez - Zaragoza,BH15 2AS,México,Plant,-106.274333,30.422333,1,"18,500",£2.84,"-£43,464","£19,983","£32,477"
31,Actual,2017.Jan,Frozen foods,Four meat ravioli,CO01,CEDIS  | Ciudad Juárez,RM13 9YY,México,CEDIS,-106.48333,31.73333,1,"75,900",£1.35,"-£165,834","£29,552","£72,768"
32,Actual,2017.Jan,Frozen foods,Four meat ravioli,CO02,CEDIS  | Samalayuca ,FK11 7ES,México,CEDIS,-106.48,31.342,1,"59,400",£1.88,"-£134,994","£17,087","£94,537"
33,Actual,2017.Jan,Frozen foods,Four meat ravioli,CO03,CEDIS  | Chihuahua,HG3 2NN,México,CEDIS,-106.069099,28.632996,1,"37,300",£1.48,"-£80,160","£21,653","£33,645"
34,Actual,2017.Jan,Frozen foods,Four meat ravioli,CO04,CEDIS | Chihuahua,WA7 1PJ,México,CEDIS,-106.089,28.635,1,"38,300",£1.85,"-£59,585","£24,545","£46,199"
35,Actual,2017.Jan,Frozen foods,Four meat ravioli,CO05,Plant | Juárez - Jarudo,NR5 9JA,México,Plant,-106.44333,30.373333,1,"50,000",£2.20,"-£93,516","£20,404","£89,446"
36,Actual,2017.Jan,Frozen foods,Four meat ravioli,CO06,Plant | Juárez - Zaragoza,BH15 2AS,México,Plant,-106.274333,30.422333,1,"29,200",£1.96,"-£49,074","£24,435","£32,823"
37,Actual,2017.Jan,Frozen foods,Alfredo pasta,CO01,CEDIS  | Ciudad Juárez,RM13 9YY,México,CEDIS,-106.48333,31.73333,1,"275,200",£0.48,"-£199,131","£30,503","£102,037"
38,Actual,2017.Jan,Frozen foods,Alfredo pasta,CO02,CEDIS  | Samalayuca ,FK11 7ES,México,CEDIS,-106.48,31.342,1,"234,000",£0.54,"-£126,104","£36,278","£89,787"
39,Actual,2017.Jan,Frozen foods,Alfredo pasta,CO03,CEDIS  | Chihuahua,HG3 2NN,México,CEDIS,-106.069099,28.632996,1,"187,800",£0.43,"-£92,724","£33,703","£47,201"
40,Actual,2017.Jan,Frozen foods,Alfredo pasta,CO04,CEDIS | Chihuahua,WA7 1PJ,México,CEDIS,-106.089,28.635,1,"97,500",£0.48,"-£48,613","£20,693","£26,139"
41,Actual,2017.Jan,Frozen foods,Alfredo pasta,CO05,Plant | Juárez - Jarudo,NR5 9JA,México,Plant,-106.44333,30.373333,1,"314,300",£0.41,"-£181,562","£23,613","£104,717"
42,Actual,2017.Jan,Frozen foods,Alfredo pasta,CO06,Plant | Juárez - Zaragoza,BH15 2AS,México,Plant,-106.274333,30.422333,1,"132,700",£0.36,"-£38,389","£16,805","£30,984"
43,Actual,2017.Jan,Frozen foods,Italian meatballs,CO01,CEDIS  | Ciudad Juárez,RM13 9YY,México,CEDIS,-106.48333,31.73333,1,"95,700",£1.94,"-£253,465","£63,184","£122,360"
44,Actual,2017.Jan,Frozen foods,Italian meatballs,CO02,CEDIS  | Samalayuca ,FK11 7ES,México,CEDIS,-106.48,31.342,1,"29,900",£3.35,"-£135,756","£20,088","£79,990"
45,Actual,2017.Jan,Frozen foods,Italian meatballs,CO03,CEDIS  | Chihuahua,HG3 2NN,México,CEDIS,-106.069099,28.632996,1,"26,900",£2.05,"-£64,573","£23,929","£31,190"
46,Actual,2017.Jan,Frozen foods,Italian meatballs,CO04,CEDIS | Chihuahua,WA7 1PJ,México,CEDIS,-106.089,28.635,1,"31,800",£2.03,"-£71,087","£18,578","£46,087"
47,Actual,2017.Jan,Frozen foods,Italian meatballs,CO05,Plant | Juárez - Jarudo,NR5 9JA,México,Plant,-106.44333,30.373333,1,"41,100",£2.53,"-£106,662","£31,138","£72,646"
48,Actual,2017.Jan,Frozen foods,Italian meatballs,CO06,Plant | Juárez - Zaragoza,BH15 2AS,México,Plant,-106.274333,30.422333,1,"21,400",£2.07,"-£51,199","£12,391","£31,981"
49,Actual,2017.Jan,Frozen foods,Brocoli soup,CO01,CEDIS  | Ciudad Juárez,RM13 9YY,México,CEDIS,-106.48333,31.73333,1,"77,900",£2.23,"-£333,822","£55,771","£117,948"
50,Actual,2017.Jan,Frozen foods,Brocoli soup,CO02,CEDIS  | Samalayuca ,FK11 7ES,México,CEDIS,-106.48,31.342,1,"46,400",£2.91,"-£171,726","£37,944","£96,901"
51,Actual,2017.Jan,Frozen foods,Brocoli soup,CO03,CEDIS  | Chihuahua,HG3 2NN,México,CEDIS,-106.069099,28.632996,1,"39,300",£2.09,"-£67,295","£28,698","£53,249"
52,Actual,2017.Jan,Frozen foods,Brocoli soup,CO04,CEDIS | Chihuahua,WA7 1PJ,México,CEDIS,-106.089,28.635,1,"26,900",£1.95,"-£63,923","£18,095","£34,244"
53,Actual,2017.Jan,Frozen foods,Brocoli soup,CO05,Plant | Juárez - Jarudo,NR5 9JA,México,Plant,-106.44333,30.373333,1,"35,600",£2.85,"-£110,593","£19,994","£81,432"
54,Actual,2017.Jan,Frozen foods,Brocoli soup,CO06,Plant | Juárez - Zaragoza,BH15 2AS,México,Plant,-106.274333,30.422333,1,"17,300",£2.21,"-£29,398","£11,234","£26,962"
55,Actual,2017.Jan,Beverages,Soda,CO01,CEDIS  | Ciudad Juárez,RM13 9YY,México,CEDIS,-106.48333,31.73333,1,"96,300",£1.75,"-£190,460","£49,512","£118,624"
56,Actual,2017.Jan,Beverages,Soda,CO02,CEDIS  | Samalayuca ,FK11 7ES,México,CEDIS,-106.48,31.342,1,"54,700",£1.89,"-£147,173","£20,598","£82,513"
57,Actual,2017.Jan,Beverages,Soda,CO03,CEDIS  | Chihuahua,HG3 2NN,México,CEDIS,-106.069099,28.632996,1,"31,300",£1.84,"-£68,899","£18,684","£38,816"
58,Actual,2017.Jan,Beverages,Soda,CO04,CEDIS | Chihuahua,WA7 1PJ,México,CEDIS,-106.089,28.635,1,"49,400",£1.61,"-£98,630","£25,884","£53,601"
59,Actual,2017.Jan,Beverages,Soda,CO05,Plant | Juárez - Jarudo,NR5 9JA,México,Plant,-106.44333,30.373333,1,"74,400",£1.98,"-£151,495","£43,656","£103,518"
60,Actual,2017.Jan,Beverages,Soda,CO06,Plant | Juárez - Zaragoza,BH15 2AS,México,Plant,-106.274333,30.422333,1,"24,000",£1.74,"-£40,634","£14,653","£27,069"
61,Actual,2017.Jan,Beverages,Water,CO01,CEDIS  | Ciudad Juárez,RM13 9YY,México,CEDIS,-106.48333,31.73333,1,"72,100",£1.88,"-£184,338","£29,086","£106,739"
62,Actual,2017.Jan,Beverages,Water,CO02,CEDIS  | Samalayuca ,FK11 7ES,México,CEDIS,-106.48,31.342,1,"48,900",£2.36,"-£160,166","£21,187","£94,089"
63,Actual,2017.Jan,Beverages,Water,CO03,CEDIS  | Chihuahua,HG3 2NN,México,CEDIS,-106.069099,28.632996,1,"23,700",£2.16,"-£55,690","£24,974","£26,277"
64,Actual,2017.Jan,Beverages,Water,CO04,CEDIS | Chihuahua,WA7 1PJ,México,CEDIS,-106.089,28.635,1,"32,100",£1.54,"-£69,577","£15,172","£34,335"
65,Actual,2017.Jan,Beverages,Water,CO05,Plant | Juárez - Jarudo,NR5 9JA,México,Plant,-106.44333,30.373333,1,"69,200",£2.04,"-£178,695","£39,821","£101,632"
66,Actual,2017.Jan,Beverages,Water,CO06,Plant | Juárez - Zaragoza,BH15 2AS,México,Plant,-106.274333,30.422333,1,"16,400",£2.43,"-£37,612","£15,555","£24,323"
67,Actual,2017.Jan,Beverages,Coffee,CO01,CEDIS  | Ciudad Juárez,RM13 9YY,México,CEDIS,-106.48333,31.73333,1,"153,000",£1.04,"-£213,468","£34,844","£124,809"
68,Actual,2017.Jan,Beverages,Coffee,CO02,CEDIS  | Samalayuca ,FK11 7ES,México,CEDIS,-106.48,31.342,1,"98,200",£1.05,"-£128,369","£18,334","£85,104"
69,Actual,2017.Jan,Beverages,Coffee,CO03,CEDIS  | Chihuahua,HG3 2NN,México,CEDIS,-106.069099,28.632996,1,"50,400",£1.20,"-£49,940","£25,491","£35,000"
70,Actual,2017.Jan,Beverages,Coffee,CO04,CEDIS | Chihuahua,WA7 1PJ,México,CEDIS,-106.089,28.635,1,"60,100",£1.32,"-£72,964","£34,769","£44,382"
71,Actual,2017.Jan,Beverages,Coffee,CO05,Plant | Juárez - Jarudo,NR5 9JA,México,Plant,-106.44333,30.373333,1,"78,400",£1.33,"-£139,817","£20,092","£84,554"
72,Actual,2017.Jan,Beverages,Coffee,CO06,Plant | Juárez - Zaragoza,BH15 2AS,México,Plant,-106.274333,30.422333,1,"40,900",£1.26,"-£54,350","£14,593","£36,768"
73,Actual,2017.Jan,Beverages,Tea,CO01,CEDIS  | Ciudad Juárez,RM13 9YY,México,CEDIS,-106.48333,31.73333,1,"251,400",£0.67,"-£285,764","£45,048","£122,758"
74,Actual,2017.Jan,Beverages,Tea,CO02,CEDIS  | Samalayuca ,FK11 7ES,México,CEDIS,-106.48,31.342,1,"108,700",£0.86,"-£94,672","£25,469","£68,239"
75,Actual,2017.Jan,Beverages,Tea,CO03,CEDIS  | Chihuahua,HG3 2NN,México,CEDIS,-106.069099,28.632996,1,"68,300",£0.76,"-£60,469","£23,779","£27,788"
76,Actual,2017.Jan,Beverages,Tea,CO04,CEDIS | Chihuahua,WA7 1PJ,México,CEDIS,-106.089,28.635,1,"99,900",£0.70,"-£85,307","£23,732","£46,577"
77,Actual,2017.Jan,Beverages,Tea,CO05,Plant | Juárez - Jarudo,NR5 9JA,México,Plant,-106.44333,30.373333,1,"75,700",£1.09,"-£91,850","£19,304","£63,107"
78,Actual,2017.Jan,Beverages,Tea,CO06,Plant | Juárez - Zaragoza,BH15 2AS,México,Plant,-106.274333,30.422333,1,"54,600",£0.85,"-£57,829","£14,576","£31,979"
79,Actual,2017.Jan,Snacks,Chips,CO01,CEDIS  | Ciudad Juárez,RM13 9YY,México,CEDIS,-106.48333,31.73333,1,"81,300",£2.54,"-£296,970","£47,541","£159,346"
80,Actual,2017.Jan,Snacks,Chips,CO02,CEDIS  | Samalayuca ,FK11 7ES,México,CEDIS,-106.48,31.342,1,"83,800",£1.95,"-£153,453","£33,790","£129,215"
81,Actual,2017.Jan,Snacks,Chips,CO03,CEDIS  | Chihuahua,HG3 2NN,México,CEDIS,-106.069099,28.632996,1,"38,800",£1.68,"-£63,871","£31,033","£34,009"
82,Actual,2017.Jan,Snacks,Chips,CO04,CEDIS | Chihuahua,WA7 1PJ,México,CEDIS,-106.089,28.635,1,"32,500",£1.88,"-£77,335","£19,830","£41,333"
83,Actual,2017.Jan,Snacks,Chips,CO05,Plant | Juárez - Jarudo,NR5 9JA,México,Plant,-106.44333,30.373333,1,"95,100",£1.56,"-£154,386","£28,096","£120,291"
84,Actual,2017.Jan,Snacks,Chips,CO06,Plant | Juárez - Zaragoza,BH15 2AS,México,Plant,-106.274333,30.422333,1,"22,500",£2.23,"-£49,940","£18,330","£31,791"
85,Actual,2017.Jan,Snacks,Cookies,CO01,CEDIS  | Ciudad Juárez,RM13 9YY,México,CEDIS,-106.48333,31.73333,1,"109,700",£1.98,"-£228,925","£55,919","£161,232"
86,Actual,2017.Jan,Snacks,Cookies,CO02,CEDIS  | Samalayuca ,FK11 7ES,México,CEDIS,-106.48,31.342,1,"99,400",£1.56,"-£145,470","£42,029","£112,684"
87,Actual,2017.Jan,Snacks,Cookies,CO03,CEDIS  | Chihuahua,HG3 2NN,México,CEDIS,-106.069099,28.632996,1,"65,700",£1.18,"-£71,534","£37,380","£39,870"
88,Actual,2017.Jan,Snacks,Cookies,CO04,CEDIS | Chihuahua,WA7 1PJ,México,CEDIS,-106.089,28.635,1,"29,100",£1.72,"-£47,965","£16,732","£33,341"
89,Actual,2017.Jan,Snacks,Cookies,CO05,Plant | Juárez - Jarudo,NR5 9JA,México,Plant,-106.44333,30.373333,1,"85,100",£1.59,"-£144,422","£24,538","£110,487"
90,Actual,2017.Jan,Snacks,Cookies,CO06,Plant | Juárez - Zaragoza,BH15 2AS,México,Plant,-106.274333,30.422333,1,"23,300",£1.45,"-£32,729","£12,022","£21,791"
91,Actual,2017.Jan,Snacks,Crackers,CO01,CEDIS  | Ciudad Juárez,RM13 9YY,México,CEDIS,-106.48333,31.73333,1,"86,500",£2.22,"-£262,112","£42,169","£149,900"
92,Actual,2017.Jan,Snacks,Crackers,CO02,CEDIS  | Samalayuca ,FK11 7ES,México,CEDIS,-106.48,31.342,1,"51,700",£2.18,"-£158,832","£30,645","£81,836"
93,Actual,2017.Jan,Snacks,Crackers,CO03,CEDIS  | Chihuahua,HG3 2NN,México,CEDIS,-106.069099,28.632996,1,"22,100",£2.40,"-£52,432","£24,907","£28,073"
94,Actual,2017.Jan,Snacks,Crackers,CO04,CEDIS | Chihuahua,WA7 1PJ,México,CEDIS,-106.089,28.635,1,"22,600",£2.60,"-£57,658","£24,942","£33,891"
95,Actual,2017.Jan,Snacks,Crackers,CO05,Plant | Juárez - Jarudo,NR5 9JA,México,Plant,-106.44333,30.373333,1,"64,400",£1.66,"-£179,887","£29,451","£77,294"
96,Actual,2017.Jan,Snacks,Crackers,CO06,Plant | Juárez - Zaragoza,BH15 2AS,México,Plant,-106.274333,30.422333,1,"23,800",£2.18,"-£63,861","£17,094","£34,907"
97,Actual,2017.Feb,Dairy,Cheese,CO01,CEDIS  | Ciudad Juárez,RM13 9YY,México,CEDIS,-106.48333,31.73333,1,"72,900",£2.20,"-£236,380","£34,015","£126,135"
98,Actual,2017.Feb,Dairy,Cheese,CO02,CEDIS  | Samalayuca ,FK11 7ES,México,CEDIS,-106.48,31.342,1,"90,600",£1.67,"-£144,088","£34,537","£116,958"
99,Actual,2017.Feb,Dairy,Cheese,CO03,CEDIS  | Chihuahua,HG3 2NN,México,CEDIS,-106.069099,28.632996,1,"21,100",£2.18,"-£52,697","£23,687","£22,291"
100,Actual,2017.Feb,Dairy,Cheese,CO04,CEDIS | Chihuahua,WA7 1PJ,México,CEDIS,-106.089,28.635,1,"22,900",£2.35,"-£63,192","£21,200","£32,594"
101,Actual,2017.Feb,Dairy,Cheese,CO05,Plant | Juárez - Jarudo,NR5 9JA,México,Plant,-106.44333,30.373333,1,"40,400",£2.02,"-£95,724","£17,489","£64,314"
102,Actual,2017.Feb,Dairy,Cheese,CO06,Plant | Juárez - Zaragoza,BH15 2AS,México,Plant,-106.274333,30.422333,1,"14,100",£2.38,"-£31,272","£10,450","£23,051"
103,Actual,2017.Feb,Dairy,Butter and margarine,CO01,CEDIS  | Ciudad Juárez,RM13 9YY,México,CEDIS,-106.48333,31.73333,1,"51,900",£2.71,"-£185,106","£39,655","£101,099"
104,Actual,2017.Feb,Dairy,Butter and margarine,CO02,CEDIS  | Samalayuca ,FK11 7ES,México,CEDIS,-106.48,31.342,1,"28,900",£3.31,"-£120,716","£23,391","£72,346"
105,Actual,2017.Feb,Dairy,Butter and margarine,CO03,CEDIS  | Chihuahua,HG3 2NN,México,CEDIS,-106.069099,28.632996,1,"31,400",£2.22,"-£57,988","£33,791","£35,816"
106,Actual,2017.Feb,Dairy,Butter and margarine,CO04,CEDIS | Chihuahua,WA7 1PJ,México,CEDIS,-106.089,28.635,1,"26,800",£2.77,"-£95,345","£28,267","£45,850"
107,Actual,2017.Feb,Dairy,Butter and margarine,CO05,Plant | Juárez - Jarudo,NR5 9JA,México,Plant,-106.44333,30.373333,1,"45,900",£2.24,"-£135,637","£21,222","£81,459"
108,Actual,2017.Feb,Dairy,Butter and margarine,CO06,Plant | Juárez - Zaragoza,BH15 2AS,México,Plant,-106.274333,30.422333,1,"20,300",£2.42,"-£43,596","£19,897","£29,166"
109,Actual,2017.Feb,Breakfast and cereal,Cereal,CO01,CEDIS  | Ciudad Juárez,RM13 9YY,México,CEDIS,-106.48333,31.73333,1,"59,500",£2.20,"-£216,846","£30,321","£100,472"
110,Actual,2017.Feb,Breakfast and cereal,Cereal,CO02,CEDIS  | Samalayuca ,FK11 7ES,México,CEDIS,-106.48,31.342,1,"68,400",£1.56,"-£149,227","£26,407","£80,419"
111,Actual,2017.Feb,Breakfast and cereal,Cereal,CO03,CEDIS  | Chihuahua,HG3 2NN,México,CEDIS,-106.069099,28.632996,1,"25,000",£2.30,"-£57,470","£27,791","£29,756"
112,Actual,2017.Feb,Breakfast and cereal,Cereal,CO04,CEDIS | Chihuahua,WA7 1PJ,México,CEDIS,-106.089,28.635,1,"29,800",£1.91,"-£62,279","£22,593","£34,290"
113,Actual,2017.Feb,Breakfast and cereal,Cereal,CO05,Plant | Juárez - Jarudo,NR5 9JA,México,Plant,-106.44333,30.373333,1,"53,100",£1.71,"-£105,626","£28,454","£62,477"
114,Actual,2017.Feb,Breakfast and cereal,Cereal,CO06,Plant | Juárez - Zaragoza,BH15 2AS,México,Plant,-106.274333,30.422333,1,"29,400",£1.81,"-£59,010","£15,903","£37,213"
115,Actual,2017.Feb,Breakfast and cereal,Granola,CO01,CEDIS  | Ciudad Juárez,RM13 9YY,México,CEDIS,-106.48333,31.73333,1,"58,600",£1.97,"-£142,972","£28,133","£87,202"
116,Actual,2017.Feb,Breakfast and cereal,Granola,CO02,CEDIS  | Samalayuca ,FK11 7ES,México,CEDIS,-106.48,31.342,1,"56,600",£2.01,"-£181,527","£34,845","£78,880"
117,Actual,2017.Feb,Breakfast and cereal,Granola,CO03,CEDIS  | Chihuahua,HG3 2NN,México,CEDIS,-106.069099,28.632996,1,"37,800",£1.86,"-£61,091","£26,892","£43,528"
118,Actual,2017.Feb,Breakfast and cereal,Granola,CO04,CEDIS | Chihuahua,WA7 1PJ,México,CEDIS,-106.089,28.635,1,"24,200",£1.98,"-£54,709","£21,663","£26,134"
119,Actual,2017.Feb,Breakfast and cereal,Granola,CO05,Plant | Juárez - Jarudo,NR5 9JA,México,Plant,-106.44333,30.373333,1,"57,900",£1.64,"-£100,647","£23,518","£71,429"
120,Actual,2017.Feb,Breakfast and cereal,Granola,CO06,Plant | Juárez - Zaragoza,BH15 2AS,México,Plant,-106.274333,30.422333,1,"13,600",£2.33,"-£27,154","£13,005","£18,659"
121,Actual,2017.Feb,Breakfast and cereal,Pancakes,CO01,CEDIS  | Ciudad Juárez,RM13 9YY,México,CEDIS,-106.48333,31.73333,1,"57,400",£2.62,"-£185,043","£32,079","£118,268"
122,Actual,2017.Feb,Breakfast and cereal,Pancakes,CO02,CEDIS  | Samalayuca ,FK11 7ES,México,CEDIS,-106.48,31.342,1,"37,200",£2.16,"-£98,921","£17,188","£63,194"
123,Actual,2017.Feb,Breakfast and cereal,Pancakes,CO03,CEDIS  | Chihuahua,HG3 2NN,México,CEDIS,-106.069099,28.632996,1,"19,500",£2.57,"-£46,602","£21,315","£28,725"
124,Actual,2017.Feb,Breakfast and cereal,Pancakes,CO04,CEDIS | Chihuahua,WA7 1PJ,México,CEDIS,-106.089,28.635,1,"16,000",£3.00,"-£55,074","£23,268","£24,712"
125,Actual,2017.Feb,Breakfast and cereal,Pancakes,CO05,Plant | Juárez - Jarudo,NR5 9JA,México,Plant,-106.44333,30.373333,1,"27,900",£2.98,"-£82,988","£13,129","£69,920"
126,Actual,2017.Feb,Breakfast and cereal,Pancakes,CO06,Plant | Juárez - Zaragoza,BH15 2AS,México,Plant,-106.274333,30.422333,1,"9,100",£3.09,"-£25,555","£9,753","£18,411"
127,Actual,2017.Feb,Frozen foods,Four meat ravioli,CO01,CEDIS  | Ciudad Juárez,RM13 9YY,México,CEDIS,-106.48333,31.73333,1,"62,800",£2.07,"-£125,212","£34,938","£94,749"
128,Actual,2017.Feb,Frozen foods,Four meat ravioli,CO02,CEDIS  | Samalayuca ,FK11 7ES,México,CEDIS,-106.48,31.342,1,"67,600",£1.95,"-£154,253","£32,573","£99,571"
129,Actual,2017.Feb,Frozen foods,Four meat ravioli,CO03,CEDIS  | Chihuahua,HG3 2NN,México,CEDIS,-106.069099,28.632996,1,"33,200",£1.99,"-£79,445","£25,603","£40,445"
130,Actual,2017.Feb,Frozen foods,Four meat ravioli,CO04,CEDIS | Chihuahua,WA7 1PJ,México,CEDIS,-106.089,28.635,1,"44,600",£1.71,"-£75,997","£34,986","£41,313"
131,Actual,2017.Feb,Frozen foods,Four meat ravioli,CO05,Plant | Juárez - Jarudo,NR5 9JA,México,Plant,-106.44333,30.373333,1,"60,200",£1.76,"-£127,777","£19,097","£86,758"
132,Actual,2017.Feb,Frozen foods,Four meat ravioli,CO06,Plant | Juárez - Zaragoza,BH15 2AS,México,Plant,-106.274333,30.422333,1,"22,200",£1.70,"-£52,505","£15,708","£22,110"
133,Actual,2017.Feb,Frozen foods,Alfredo pasta,CO01,CEDIS  | Ciudad Juárez,RM13 9YY,México,CEDIS,-106.48333,31.73333,1,"364,700",£0.50,"-£263,400","£33,508","£147,813"
134,Actual,2017.Feb,Frozen foods,Alfredo pasta,CO02,CEDIS  | Samalayuca ,FK11 7ES,México,CEDIS,-106.48,31.342,1,"313,600",£0.43,"-£155,174","£36,290","£99,438"
135,Actual,2017.Feb,Frozen foods,Alfredo pasta,CO03,CEDIS  | Chihuahua,HG3 2NN,México,CEDIS,-106.069099,28.632996,1,"277,900",£0.30,"-£62,698","£36,522","£48,037"
136,Actual,2017.Feb,Frozen foods,Alfredo pasta,CO04,CEDIS | Chihuahua,WA7 1PJ,México,CEDIS,-106.089,28.635,1,"95,700",£0.53,"-£63,158","£21,939","£29,224"
137,Actual,2017.Feb,Frozen foods,Alfredo pasta,CO05,Plant | Juárez - Jarudo,NR5 9JA,México,Plant,-106.44333,30.373333,1,"222,700",£0.48,"-£146,311","£29,121","£78,884"
138,Actual,2017.Feb,Frozen foods,Alfredo pasta,CO06,Plant | Juárez - Zaragoza,BH15 2AS,México,Plant,-106.274333,30.422333,1,"95,000",£0.38,"-£34,065","£11,183","£24,540"
